sourceNumber,locale,published_url,topic_cluster,current_title,current_H1,current_meta_title,current_description,current_primary_term,recommended_primary_term,secondary_terms,search_intent,verdict,suggested_meta_title,suggested_meta_description,suggested_H1,suggested_intro_change,suggested_H2_changes,evidence,confidence,manual_review_required
1,en,https://runcheckapp.com/articles/device-health/android-device-health-check/,Android-puhelimen kunnon tarkistus,Android device health check: how to check if your phone is in good condition,Android device health check: how to check if your phone is in good condition,Android device health check,"Phones don't break overnight. A battery slowly loses capacity. Storage fills up in the background. Temperatures creep higher under the same workloads. By the time the symptoms become obvious (random shutdowns, sluggish apps, overheating during basic tasks), the underlying issue has usually been building for months.",Android device health check,Android device health check,Android device health check,Informational/problem-solving: determine overall device condition,PASS,KEEP,KEEP,KEEP,KEEP,KEEP,English source baseline. Grammar/region/technical intent are the source of truth for localization. No GSC data was available; no English keyword rewrite proposed.,HIGH,FALSE
1,fi-FI,https://runcheckapp.com/fi/artikkelit/laitteen-kunto/android-puhelimen-kuntotarkistus-nain-selvitat-onko-puhelimesi-kunnossa/,Android-puhelimen kunnon tarkistus,"Android-puhelimen kuntotarkistus: näin selvität, onko puhelimesi kunnossa","Android-puhelimen kuntotarkistus: näin selvität, onko puhelimesi kunnossa",Android-puhelimen kuntotarkistus | runcheck,"Puhelin ei yleensä hajoa yhdessä yössä. Akun kapasiteetti vähenee hitaasti. Tallennustila täyttyy taustalla. Lämpötila nousee vähitellen samoissa käyttötilanteissa. Kun oireet muuttuvat selviksi, esimerkiksi puhelin sammuu satunnaisesti, sovellukset hidastelevat tai laite kuumenee jo kevyessä käytössä, taustalla oleva ongelma on tavallisesti kehittynyt kuukausien ajan.",Android-puhelimen kuntotarkistus,Android-puhelimen kuntotarkistus,Android-puhelimen kuntotarkistus,Informational/problem-solving: determine overall device condition,PASS,KEEP,KEEP,KEEP,KEEP,KEEP,"Grammar: no confirmed error. Regional variety: no confirmed error. Technical meaning: no confirmed error. Primary term matches the locale profile and sampled official/SERP vocabulary. No GSC data. Query: ""käytetty Android-puhelin"" tarkistus kunnostettu puhelin (fi-FI/Finland, 2026-07-15). Local operator/retailer titles used käytetty Android-puhelin and kunnostettu puhelin. https://www.telia.fi/kauppa/puhelimet/kaytetyt-android-puhelimet; https://hobbyhall.fi/fi/puhelimet-alylaitteet-ja-kamerat/kunnostetut-puhelimet",MEDIUM,FALSE
1,sv-SE,https://runcheckapp.com/sv/artiklar/enhetshalsa/halsokontroll-for-android-sa-ser-du-om-telefonen-ar-i-bra-skick/,Android-puhelimen kunnon tarkistus,Hälsokontroll för Android: så ser du om telefonen är i bra skick,Hälsokontroll för Android: så ser du om telefonen är i bra skick,,"Telefoner går sällan sönder över en natt. Batteriet tappar långsamt kapacitet. Lagringen fylls i bakgrunden. Temperaturen stiger gradvis vid samma belastning. När symtomen väl blir tydliga, som slumpmässiga avstängningar, tröga appar eller överhettning vid enkla uppgifter, har problemet ofta byggts upp i flera månader.",kontrollera Android-telefonens skick,kontrollera Android-telefonens skick,kontrollera Android-telefonens skick,Informational/problem-solving: determine overall device condition,PASS,KEEP,KEEP,KEEP,KEEP,KEEP,"Grammar: no confirmed error. Regional variety: no confirmed error. Technical meaning: no confirmed error. Primary term matches the locale profile and sampled official/SERP vocabulary. No GSC data. Query: ""begagnad Android-telefon"" kontroll ""rekonditionerad telefon"" Sverige (sv-SE/Sweden, 2026-07-15). Local retailer titles/text used begagnad Android and rekonditionerad. https://shop.inrego.se/android/",LOW,FALSE
1,nb-NO,https://runcheckapp.com/nb/artikler/enhetshelse/helsesjekk-av-android-enheter-slik-ser-du-om-telefonen-er-i-god-stand/,Android-puhelimen kunnon tarkistus,Helsesjekk av Android-enheter: slik ser du om telefonen er i god stand,Helsesjekk av Android-enheter: slik ser du om telefonen er i god stand,,"Telefoner går sjelden i stykker over natten. Batteriet mister kapasitet litt etter litt. Lagringen fylles opp i bakgrunnen. Temperaturen stiger gradvis under de samme belastningene. Når symptomene blir tydelige, som tilfeldige avslåinger, trege apper eller overoppheting ved enkle oppgaver, har problemet vanligvis utviklet seg i flere måneder.",sjekke tilstanden til en Android-telefon,sjekke tilstanden til en Android-telefon,sjekke tilstanden til en Android-telefon,Informational/problem-solving: determine overall device condition,PASS,KEEP,KEEP,KEEP,KEEP,KEEP,"Grammar: no confirmed error. Regional variety: no confirmed error. Technical meaning: no confirmed error. Primary term matches the locale profile and sampled official/SERP vocabulary. No GSC data. Query: Norge ""brukt Android-telefon"" sjekk ""renovert telefon"" (nb-NO/Norway, 2026-07-15). Results were insufficient to prove one refurbished synonym; retain profile term and require native review for commercial copy.",LOW,FALSE
1,da-DK,https://runcheckapp.com/da/artikler/enhedstilstand/tilstandstjek-af-en-android-telefon-sadan-ser-du-om-den-er-i-god-stand/,Android-puhelimen kunnon tarkistus,"Tilstandstjek af en Android-telefon: sådan ser du, om den er i god stand","Tilstandstjek af en Android-telefon: sådan ser du, om den er i god stand",,"Telefoner går ikke i stykker fra den ene dag til den anden. Batteriet mister langsomt kapacitet. Lagerpladsen fyldes i baggrunden. Temperaturen stiger gradvist ved de samme belastninger. Når symptomerne bliver tydelige, for eksempel tilfældige nedlukninger, langsomme apps eller overophedning under helt almindelig brug, har problemet som regel været under udvikling i flere måneder.",tilstandstjek af en Android-telefon,tilstandstjek af en Android-telefon,tilstandstjek af en Android-telefon,Informational/problem-solving: determine overall device condition,PASS,KEEP,KEEP,KEEP,KEEP,KEEP,"Grammar: no confirmed error. Regional variety: no confirmed error. Technical meaning: no confirmed error. Primary term matches the locale profile and sampled official/SERP vocabulary. No GSC data. Query: Danmark ""brugt Android-telefon"" tjek ""istandsat telefon"" (da-DK/Denmark, 2026-07-15). Local retailer result used genbrugt Android-telefon and professionelt istandsat; intent differs from ordinary used-device checks. https://elektroniks.dk/Kategori/telefoner/android-refurbished/",LOW,FALSE
1,de-DE,https://runcheckapp.com/de/artikel/geratezustand/android-geratezustand-prufen-so-findest-du-heraus-ob-dein-smartphone-in-gutem-zustand-ist/,Android-puhelimen kunnon tarkistus,"Android-Gerätezustand prüfen: So findest du heraus, ob dein Smartphone in gutem Zustand ist","Android-Gerätezustand prüfen: So findest du heraus, ob dein Smartphone in gutem Zustand ist",,"Smartphones gehen nicht über Nacht kaputt. Der Akku verliert langsam an Kapazität. Der Speicher füllt sich im Hintergrund. Bei denselben Aufgaben steigen die Temperaturen nach und nach. Wenn die Symptome schließlich deutlich werden, etwa zufällige Abschaltungen, träge Apps oder Überhitzung bei einfachen Aufgaben, hat sich die eigentliche Ursache meist schon über Monate entwickelt.",Android-Gerätezustand prüfen,Android-Gerätezustand prüfen,Android-Gerätezustand prüfen,Informational/problem-solving: determine overall device condition,PASS,KEEP,KEEP,KEEP,KEEP,KEEP,"Grammar: no confirmed error. Regional variety: no confirmed error. Technical meaning: no confirmed error. Primary term matches the locale profile and sampled official/SERP vocabulary. No GSC data. Query: Deutschland ""gebrauchtes Android-Smartphone"" prüfen ""generalüberholtes Smartphone"" (de-DE/Germany, 2026-07-15). Results were insufficient for volume claims; profile/corpus terms are retained with MEDIUM confidence.",MEDIUM,FALSE
1,fr-FR,https://runcheckapp.com/fr/articles/etat-de-l-appareil/diagnostic-de-l-etat-d-un-appareil-android-comment-verifier-si-votre-telephone-est-en-bon/,Android-puhelimen kunnon tarkistus,Diagnostic de l'état d'un appareil Android : comment vérifier si votre téléphone est en bon état,Diagnostic de l'état d'un appareil Android : comment vérifier si votre téléphone est en bon état,,"Un téléphone ne tombe pas en panne du jour au lendemain. La batterie perd lentement de sa capacité. Le stockage se remplit en arrière-plan. La température augmente peu à peu sous une charge identique. Lorsque les symptômes deviennent évidents, comme des arrêts aléatoires, des applications poussives ou une surchauffe pendant des tâches simples, le problème sous-jacent évolue généralement depuis des mois.",vérifier l’état d’un téléphone Android,vérifier l’état d’un téléphone Android,vérifier l’état d’un téléphone Android,Informational/problem-solving: determine overall device condition,PASS,KEEP,KEEP,KEEP,KEEP,KEEP,"Grammar: no confirmed error. Regional variety: no confirmed error. Technical meaning: no confirmed error. Primary term matches the locale profile and sampled official/SERP vocabulary. No GSC data. Query: France ""smartphone Android d'occasion"" vérifier ""smartphone reconditionné"" (fr-FR/France, 2026-07-15). Local editorial/retail results distinguish d'occasion from reconditionné. https://www.quelbonplan.fr/quelnumerique/67c8121e6ce263b587581a50; https://www.reepeat.fr/produits/smartphones-et-objets-connectes/smartphone",MEDIUM,FALSE
1,es-ES,https://runcheckapp.com/es/articulos/estado-del-dispositivo/comprobacion-del-estado-de-un-dispositivo-android-como-saber-si-tu-movil-esta-en-buenas/,Android-puhelimen kunnon tarkistus,Comprobación del estado de un dispositivo Android: cómo saber si tu móvil está en buenas condiciones,Comprobación del estado de un dispositivo Android: cómo saber si tu móvil está en buenas condiciones,,"Los móviles no se estropean de un día para otro. La batería pierde capacidad poco a poco. El almacenamiento se llena en segundo plano. La temperatura sube cada vez más con las mismas tareas. Cuando los síntomas ya son evidentes, como apagados inesperados, aplicaciones lentas o sobrecalentamiento durante un uso básico, el problema de fondo suele llevar meses desarrollándose.",comprobar el estado de un móvil Android,comprobar el estado de un móvil Android,comprobar el estado de un móvil Android,Informational/problem-solving: determine overall device condition,MINOR,Comprobar el estado de un móvil Android,"Comprueba batería, almacenamiento, temperatura, red, sensores y rendimiento para saber si tu móvil Android está en buen estado.",KEEP,KEEP,KEEP,"Grammar: no confirmed error. Regional variety: no confirmed error. Technical meaning: no confirmed error. Primary term matches the locale profile and sampled official/SERP vocabulary. A measured CTR claim is not possible; the meta suggestion is editorial only. No GSC data. Query: España ""móvil Android de segunda mano"" comprobar ""móvil reacondicionado"" (es-ES/Spain, 2026-07-15). Spanish editorial results repeat móvil de segunda mano and móvil reacondicionado and distinguish the intents. https://www.elespanol.com/elandroidelibre/tutoriales/trucos/20230624/claves-fijarse-comprar-movil-segunda-mano/772672835_0.html; https://www.todoandroid.es/que-son-los-moviles-reacondicionados/",MEDIUM,TRUE
2,en,https://runcheckapp.com/articles/buying-selling/how-to-check-used-android-phone-condition/,Käytetyn puhelimen tarkistus ja ostaminen,How to check if a used Android phone is in good condition,How to check if a used Android phone is in good condition,,A phone that's been used for a year or two can look perfectly fine and still have real problems underneath. Batteries degrade invisibly. Storage chips slow down. Sensors drift. The screen might respond everywhere except a small patch in one corner that nobody notices until they try to type the letter P on the keyboard.,check and buy a used Android phone,check and buy a used Android phone,buying guide; value,Commercial investigation: reduce purchase risk,PASS,KEEP,KEEP,KEEP,KEEP,KEEP,English source baseline. Grammar/region/technical intent are the source of truth for localization. No GSC data was available; no English keyword rewrite proposed.,HIGH,FALSE
2,fi-FI,https://runcheckapp.com/fi/artikkelit/ostaminen-ja-myyminen/nain-tarkistat-onko-kaytetty-android-puhelin-hyvassa-kunnossa/,Käytetyn puhelimen tarkistus ja ostaminen,"Näin tarkistat, onko käytetty Android-puhelin hyvässä kunnossa","Näin tarkistat, onko käytetty Android-puhelin hyvässä kunnossa",,"Vuoden tai kaksi käytetty puhelin voi näyttää täysin ehjältä, vaikka pinnan alla olisi todellisia ongelmia. Akku kuluu ilman näkyviä merkkejä. Tallennuspiirit hidastuvat. Anturien tarkkuus muuttuu. Näyttö saattaa reagoida kaikkialla muualla paitsi pienellä alueella kulmassa, eikä kukaan huomaa sitä ennen kuin näppäimistöstä pitäisi kirjoittaa juuri siihen osuva kirjain.",käytetyn Android-puhelimen tarkistus,käytetyn Android-puhelimen tarkistus,osto opas; arvo,Commercial investigation: reduce purchase risk,PASS,KEEP,KEEP,KEEP,KEEP,KEEP,"Grammar: no confirmed error. Regional variety: no confirmed error. Technical meaning: no confirmed error. Primary term matches the locale profile and sampled official/SERP vocabulary. No GSC data. Query: ""käytetty Android-puhelin"" tarkistus kunnostettu puhelin (fi-FI/Finland, 2026-07-15). Local operator/retailer titles used käytetty Android-puhelin and kunnostettu puhelin. https://www.telia.fi/kauppa/puhelimet/kaytetyt-android-puhelimet; https://hobbyhall.fi/fi/puhelimet-alylaitteet-ja-kamerat/kunnostetut-puhelimet",MEDIUM,FALSE
