topic_cluster,locale,country,term,term_role,autocomplete_status,suggestion_count,exact_term_suggested,suggestions,interpretation
"Android-puhelimen kunnon tarkistus","fi-FI","Finland","Android-puhelimen kuntotarkistus","CURRENT_AND_RECOMMENDED","OK","0","NO","","Support signal only; not search volume, ranking, CTR, or proof that a term should replace another term."
"Android-puhelimen kunnon tarkistus","sv-SE","Sweden","kontrollera Android-telefonens skick","CURRENT_AND_RECOMMENDED","OK","0","NO","","Support signal only; not search volume, ranking, CTR, or proof that a term should replace another term."
"Android-puhelimen kunnon tarkistus","nb-NO","Norway","sjekke tilstanden til en Android-telefon","CURRENT_AND_RECOMMENDED","OK","0","NO","","Support signal only; not search volume, ranking, CTR, or proof that a term should replace another term."
"Android-puhelimen kunnon tarkistus","da-DK","Denmark","tilstandstjek af en Android-telefon","CURRENT_AND_RECOMMENDED","OK","0","NO","","Support signal only; not search volume, ranking, CTR, or proof that a term should replace another term."
"Android-puhelimen kunnon tarkistus","de-DE","Germany","Android-Gerätezustand prüfen","CURRENT_AND_RECOMMENDED","OK","0","NO","","Support signal only; not search volume, ranking, CTR, or proof that a term should replace another term."
"Android-puhelimen kunnon tarkistus","fr-FR","France","vérifier l’état d’un téléphone Android","CURRENT_AND_RECOMMENDED","OK","0","NO","","Support signal only; not search volume, ranking, CTR, or proof that a term should replace another term."
"Android-puhelimen kunnon tarkistus","es-ES","Spain","comprobar el estado de un móvil Android","CURRENT_AND_RECOMMENDED","OK","0","NO","","Support signal only; not search volume, ranking, CTR, or proof that a term should replace another term."
"Käytetyn puhelimen tarkistus ja ostaminen","fi-FI","Finland","käytetyn Android-puhelimen tarkistus","CURRENT_AND_RECOMMENDED","OK","0","NO","","Support signal only; not search volume, ranking, CTR, or proof that a term should replace another term."
"Käytetyn puhelimen tarkistus ja ostaminen","sv-SE","Sweden","kontrollera en begagnad Android-telefon","CURRENT_AND_RECOMMENDED","OK","0","NO","","Support signal only; not search volume, ranking, CTR, or proof that a term should replace another term."
"Käytetyn puhelimen tarkistus ja ostaminen","nb-NO","Norway","sjekke en brukt Android-telefon","CURRENT_AND_RECOMMENDED","OK","0","NO","","Support signal only; not search volume, ranking, CTR, or proof that a term should replace another term."
"Käytetyn puhelimen tarkistus ja ostaminen","da-DK","Denmark","tjek af en brugt Android-telefon","CURRENT_AND_RECOMMENDED","OK","0","NO","","Support signal only; not search volume, ranking, CTR, or proof that a term should replace another term."
