locale,query_or_concept,first_sourceNumber,first_URL,second_sourceNumber,second_URL,overlap_reason,evidence,confidence,recommended_action
en,overall phone condition / full diagnostic,1,https://runcheckapp.com/articles/device-health/android-device-health-check/,7,https://runcheckapp.com/articles/device-health/run-full-diagnostic-android/,overall condition check overlaps a full diagnostic workflow,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
en,used phone condition / buying checklist,2,https://runcheckapp.com/articles/buying-selling/how-to-check-used-android-phone-condition/,6,https://runcheckapp.com/articles/buying-selling/what-to-check-before-buying-used-android-phone/,both answer pre-purchase condition checks; one should remain condition-led and the other checklist-led,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
en,battery health / battery percentage,11,https://runcheckapp.com/articles/battery/how-to-check-battery-health-on-android/,13,https://runcheckapp.com/articles/battery/battery-health-percentage/,battery health and percentage meaning can share broad queries but have different explanatory intent,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
en,fast battery drain / hidden drain,21,https://runcheckapp.com/articles/battery/why-phone-battery-drains-fast/,25,https://runcheckapp.com/articles/battery/how-to-find-hidden-battery-drain/,broad drain diagnosis overlaps a narrower hidden-drain method,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
en,slow charging / will not charge,47,https://runcheckapp.com/articles/charging/phone-charging-slowly/,48,https://runcheckapp.com/articles/charging/phone-wont-charge/,charging speed and complete charging failure are adjacent but distinct problems,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
en,overheating / thermal throttling,53,https://runcheckapp.com/articles/thermal/how-to-check-phone-temperature-android/,56,https://runcheckapp.com/articles/thermal/what-is-thermal-throttling/,heat symptom overlaps the performance-protection mechanism,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
en,slow Android phone / speed up old phone,64,https://runcheckapp.com/articles/performance/why-your-android-phone-is-slow/,65,https://runcheckapp.com/articles/performance/how-to-speed-up-old-android-phone/,diagnosis and improvement intents may share slow-phone queries,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
en,free storage / false full warning,79,https://runcheckapp.com/articles/storage/free-up-storage-android/,87,https://runcheckapp.com/articles/storage/phone-says-storage-full-when-its-not/,general cleanup overlaps the false-full error intent,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
en,Wi-Fi signal / Wi-Fi troubleshooting,90,https://runcheckapp.com/articles/network/check-wifi-signal-strength-android/,96,https://runcheckapp.com/articles/network/how-to-fix-android-wifi-connection-problems/,measurement intent overlaps repair intent,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
en,slow phone internet / slow mobile data,91,https://runcheckapp.com/articles/network/why-is-my-phone-internet-so-slow/,97,https://runcheckapp.com/articles/network/why-is-mobile-data-slow-even-with-good-signal/,broad connection diagnosis overlaps mobile-data-only intent,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
