topic_cluster,source_concept,search_intent,locale,current_primary_term,recommended_primary_term,accepted_alternatives,terms_to_avoid,official_source,SERP_evidence,GSC_evidence,confidence,notes
Android-puhelimen kunnon tarkistus,Android device health check,Informational/problem-solving: determine overall device condition,fi-FI,Android-puhelimen kuntotarkistus,Android-puhelimen kuntotarkistus,condition check; device condition wording when it remains non-medical,laitteen terveys as a blanket SEO head term,runcheck-translation-profile-fi-FI.md; current localized corpus; no single official UI term governs this broad concept,"Query: ""käytetty Android-puhelin"" tarkistus kunnostettu puhelin (fi-FI/Finland, 2026-07-15). Local operator/retailer titles used käytetty Android-puhelin and kunnostettu puhelin. https://www.telia.fi/kauppa/puhelimet/kaytetyt-android-puhelimet; https://hobbyhall.fi/fi/puhelimet-alylaitteet-ja-kamerat/kunnostetut-puhelimet",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 1, 3, 7, 8, 10. Potential overlap: 1 vs 7 vs 10. Current term is corpus/title evidence, not a search-volume claim."
Android-puhelimen kunnon tarkistus,Android device health check,Informational/problem-solving: determine overall device condition,sv-SE,kontrollera Android-telefonens skick,kontrollera Android-telefonens skick,condition check; device condition wording when it remains non-medical,enhetshälsa as an automatic exact-match replacement without context,runcheck-translation-profile-sv-SE.md; current localized corpus; no single official UI term governs this broad concept,"Query: ""begagnad Android-telefon"" kontroll ""rekonditionerad telefon"" Sverige (sv-SE/Sweden, 2026-07-15). Local retailer titles/text used begagnad Android and rekonditionerad. https://shop.inrego.se/android/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,LOW,"Important source IDs: 1, 3, 7, 8, 10. Potential overlap: 1 vs 7 vs 10. Current term is corpus/title evidence, not a search-volume claim."
Android-puhelimen kunnon tarkistus,Android device health check,Informational/problem-solving: determine overall device condition,nb-NO,sjekke tilstanden til en Android-telefon,sjekke tilstanden til en Android-telefon,condition check; device condition wording when it remains non-medical,Danish or Nynorsk wording; untranslated English except protected terms,runcheck-translation-profile-nb-NO.md; current localized corpus; no single official UI term governs this broad concept,"Query: Norge ""brukt Android-telefon"" sjekk ""renovert telefon"" (nb-NO/Norway, 2026-07-15). Results were insufficient to prove one refurbished synonym; retain profile term and require native review for commercial copy.",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,LOW,"Important source IDs: 1, 3, 7, 8, 10. Potential overlap: 1 vs 7 vs 10. Current term is corpus/title evidence, not a search-volume claim."
Android-puhelimen kunnon tarkistus,Android device health check,Informational/problem-solving: determine overall device condition,da-DK,tilstandstjek af en Android-telefon,tilstandstjek af en Android-telefon,condition check; device condition wording when it remains non-medical,Norwegian/Swedish wording; untranslated English except protected terms,runcheck-translation-profile-da-DK.md; current localized corpus; no single official UI term governs this broad concept,"Query: Danmark ""brugt Android-telefon"" tjek ""istandsat telefon"" (da-DK/Denmark, 2026-07-15). Local retailer result used genbrugt Android-telefon and professionelt istandsat; intent differs from ordinary used-device checks. https://elektroniks.dk/Kategori/telefoner/android-refurbished/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,LOW,"Important source IDs: 1, 3, 7, 8, 10. Potential overlap: 1 vs 7 vs 10. Current term is corpus/title evidence, not a search-volume claim."
Android-puhelimen kunnon tarkistus,Android device health check,Informational/problem-solving: determine overall device condition,de-DE,Android-Gerätezustand prüfen,Android-Gerätezustand prüfen,condition check; device condition wording when it remains non-medical,unexplained English marketing terminology or invented compounds,runcheck-translation-profile-de-DE.md; current localized corpus; no single official UI term governs this broad concept,"Query: Deutschland ""gebrauchtes Android-Smartphone"" prüfen ""generalüberholtes Smartphone"" (de-DE/Germany, 2026-07-15). Results were insufficient for volume claims; profile/corpus terms are retained with MEDIUM confidence.",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 1, 3, 7, 8, 10. Potential overlap: 1 vs 7 vs 10. Current term is corpus/title evidence, not a search-volume claim."
Android-puhelimen kunnon tarkistus,Android device health check,Informational/problem-solving: determine overall device condition,fr-FR,vérifier l’état d’un téléphone Android,vérifier l’état d’un téléphone Android,condition check; device condition wording when it remains non-medical,Canadian-French regional wording or unexplained English head terms,runcheck-translation-profile-fr-FR.md; current localized corpus; no single official UI term governs this broad concept,"Query: France ""smartphone Android d'occasion"" vérifier ""smartphone reconditionné"" (fr-FR/France, 2026-07-15). Local editorial/retail results distinguish d'occasion from reconditionné. https://www.quelbonplan.fr/quelnumerique/67c8121e6ce263b587581a50; https://www.reepeat.fr/produits/smartphones-et-objets-connectes/smartphone",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 1, 3, 7, 8, 10. Potential overlap: 1 vs 7 vs 10. Current term is corpus/title evidence, not a search-volume claim."
Android-puhelimen kunnon tarkistus,Android device health check,Informational/problem-solving: determine overall device condition,es-ES,comprobar el estado de un móvil Android,comprobar el estado de un móvil Android,condition check; device condition wording when it remains non-medical,Latin American celular as the Spain-Spanish head term,runcheck-translation-profile-es-ES.md; current localized corpus; no single official UI term governs this broad concept,"Query: España ""móvil Android de segunda mano"" comprobar ""móvil reacondicionado"" (es-ES/Spain, 2026-07-15). Spanish editorial results repeat móvil de segunda mano and móvil reacondicionado and distinguish the intents. https://www.elespanol.com/elandroidelibre/tutoriales/trucos/20230624/claves-fijarse-comprar-movil-segunda-mano/772672835_0.html; https://www.todoandroid.es/que-son-los-moviles-reacondicionados/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 1, 3, 7, 8, 10. Potential overlap: 1 vs 7 vs 10. Current term is corpus/title evidence, not a search-volume claim."
Android-puhelimen kunnon tarkistus,Android device health check,Informational/problem-solving: determine overall device condition,it-IT,controllare lo stato di uno smartphone Android,controllare lo stato di uno smartphone Android,condition check; device condition wording when it remains non-medical,Spanish/other-market wording; unexplained English head terms,runcheck-translation-profile-it-IT.md; current localized corpus; no single official UI term governs this broad concept,"Query: Italia ""smartphone Android usato"" controllare ""smartphone ricondizionato"" (it-IT/Italy, 2026-07-15). Consumer/editorial results distinguish usato from ricondizionato. https://www.altroconsumo.it/hi-tech/smartphone/speciali/smartphone-ricondizionati; https://www.smartgeneration.it/vendere-smartphone-android-online/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 1, 3, 7, 8, 10. Potential overlap: 1 vs 7 vs 10. Current term is corpus/title evidence, not a search-volume claim."
Käytetyn puhelimen tarkistus ja ostaminen,check and buy a used Android phone,Commercial investigation: reduce purchase risk,fi-FI,käytetyn Android-puhelimen tarkistus,käytetyn Android-puhelimen tarkistus,used phone; condition check; pre-purchase check,untranslated English except protected terms; Swedish/other-market variants,runcheck-translation-profile-fi-FI.md; current localized corpus; no single official UI term governs this broad concept,"Query: ""käytetty Android-puhelin"" tarkistus kunnostettu puhelin (fi-FI/Finland, 2026-07-15). Local operator/retailer titles used käytetty Android-puhelin and kunnostettu puhelin. https://www.telia.fi/kauppa/puhelimet/kaytetyt-android-puhelimet; https://hobbyhall.fi/fi/puhelimet-alylaitteet-ja-kamerat/kunnostetut-puhelimet",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 2, 6, 141, 144. Potential overlap: 2 vs 6 vs 141. Current term is corpus/title evidence, not a search-volume claim."
Käytetyn puhelimen tarkistus ja ostaminen,check and buy a used Android phone,Commercial investigation: reduce purchase risk,sv-SE,kontrollera en begagnad Android-telefon,kontrollera en begagnad Android-telefon,used phone; condition check; pre-purchase check,untranslated English except protected terms; Finland-Swedish administrative wording,runcheck-translation-profile-sv-SE.md; current localized corpus; no single official UI term governs this broad concept,"Query: ""begagnad Android-telefon"" kontroll ""rekonditionerad telefon"" Sverige (sv-SE/Sweden, 2026-07-15). Local retailer titles/text used begagnad Android and rekonditionerad. https://shop.inrego.se/android/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 2, 6, 141, 144. Potential overlap: 2 vs 6 vs 141. Current term is corpus/title evidence, not a search-volume claim."
