"topic_cluster","English concept","locale","recommended primary term","accepted alternatives","terms to avoid","source or evidence","confidence","affected article count"
"battery health and capacity","battery health","fi-FI","akun kunto","akun kapasiteetti; akun tila in generic status context","akun terveys","runcheck-translation-profile-fi-FI.md; https://support.google.com/pixelphone/answer/15738128?hl=fi","high","76"
"fast battery drain","battery drains fast","fi-FI","akku tyhjenee nopeasti","nopea virrankulutus; akun nopea purkautuminen","akun drainaaminen","runcheck-translation-profile-fi-FI.md; https://support.google.com/pixelphone/answer/15738128?hl=fi","medium","7"
"charging and chargers","charging / charger","fi-FI","lataaminen; laturi","lataus; verkkolaite when technically exact","chargaus","runcheck-translation-profile-fi-FI.md; https://support.google.com/pixelphone/answer/15738128?hl=fi","high","102"
"heat and overheating","overheating","fi-FI","ylikuumeneminen","puhelin kuumenee; kuumeneminen","overheattaus","runcheck-translation-profile-fi-FI.md; https://support.google.com/pixelphone/answer/15738128?hl=fi","high","26"
"thermal throttling","thermal throttling","fi-FI","lämpötilasta johtuva suorituskyvyn rajoittaminen","thermal throttling once with explanation","terminen kuristus without explanation","runcheck-translation-profile-fi-FI.md; https://support.google.com/pixelphone/answer/15738128?hl=fi","medium","7"
"storage and freeing space","storage / free storage","fi-FI","tallennustila; vapauta tallennustilaa","sisäinen tallennustila; vapaa tila","varasto","runcheck-translation-profile-fi-FI.md; https://support.google.com/pixelphone/answer/15738128?hl=fi","high","8"
"slow phone and performance","slow phone","fi-FI","hidas puhelin; puhelin on hidas","suorituskyky; hidastelu","performanssi as default","runcheck-translation-profile-fi-FI.md; https://support.google.com/pixelphone/answer/15738128?hl=fi","medium","74"
"Wi-Fi, mobile network and signal strength","signal strength","fi-FI","signaalin voimakkuus","mobiilisignaali; Wi-Fi-signaali","signaalivahvuus as the only term","runcheck-translation-profile-fi-FI.md; https://support.google.com/pixelphone/answer/15738128?hl=fi","high","29"
"buying used or refurbished phones","used / refurbished phone","fi-FI","käytetty puhelin; kunnostettu puhelin","vaihtolaite when applicable","refurbished-puhelin as default","runcheck-translation-profile-fi-FI.md; https://support.google.com/pixelphone/answer/15738128?hl=fi","high","0"
"repair, warranty and consumer decisions","repair / warranty","fi-FI","korjaus; takuu; kuluttajansuoja","huolto; huoltoliike","warranty","runcheck-translation-profile-fi-FI.md; https://support.google.com/pixelphone/answer/15738128?hl=fi","medium","53"
"security, factory reset and FRP","factory reset / FRP","fi-FI","tehdasasetusten palautus; Factory Reset Protection (FRP)","laitteen tyhjennys only when exact","factory reset without Finnish explanation","runcheck-translation-profile-fi-FI.md; https://support.google.com/pixelphone/answer/15738128?hl=fi","high","0"
"Android settings and diagnostics","Settings / diagnostics","fi-FI","Asetukset; diagnostiikka","diagnostiikkasovellus; Tietoja puhelimesta","asetukset-polku invented without verification","runcheck-translation-profile-fi-FI.md; https://support.google.com/pixelphone/answer/15738128?hl=fi","high","39"
"battery health and capacity","battery health","sv-SE","batterihälsa","batterikapacitet; batteriets skick in broad prose","batteritillstånd as a blanket replacement","runcheck-translation-profile-sv-SE.md; https://support.google.com/pixelphone/answer/15738128?hl=sv","high","74"
"fast battery drain","battery drains fast","sv-SE","batteriet laddas ur snabbt","hög batteriförbrukning","battery drain untranslated","runcheck-translation-profile-sv-SE.md; https://support.google.com/pixelphone/answer/15738128?hl=sv","medium","11"
"charging and chargers","charging / charger","sv-SE","laddning; laddare","uppladdning only where natural","charging untranslated","runcheck-translation-profile-sv-SE.md; https://support.google.com/pixelphone/answer/15738128?hl=sv","high","12"
"heat and overheating","overheating","sv-SE","överhettning","telefonen blir varm","overheating untranslated","runcheck-translation-profile-sv-SE.md; https://support.google.com/pixelphone/answer/15738128?hl=sv","high","33"
"thermal throttling","thermal throttling","sv-SE","termisk strypning","explanation that heat limits performance","thermal throttling without explanation","runcheck-translation-profile-sv-SE.md; https://support.google.com/pixelphone/answer/15738128?hl=sv","medium","20"
"storage and freeing space","storage / free storage","sv-SE","lagring; frigör lagringsutrymme","intern lagring; ledigt utrymme","storage untranslated","runcheck-translation-profile-sv-SE.md; https://support.google.com/pixelphone/answer/15738128?hl=sv","high","19"
"slow phone and performance","slow phone","sv-SE","långsam telefon","prestanda; telefonen känns seg","performans","runcheck-translation-profile-sv-SE.md; https://support.google.com/pixelphone/answer/15738128?hl=sv","medium","82"
"Wi-Fi, mobile network and signal strength","signal strength","sv-SE","signalstyrka","mobilsignal; Wi-Fi-signal","signal strength untranslated","runcheck-translation-profile-sv-SE.md; https://support.google.com/pixelphone/answer/15738128?hl=sv","high","40"
"buying used or refurbished phones","used / refurbished phone","sv-SE","begagnad telefon; rekonditionerad telefon","renoverad when context supports it","refurbished as default","runcheck-translation-profile-sv-SE.md; https://support.google.com/pixelphone/answer/15738128?hl=sv","high","0"
"repair, warranty and consumer decisions","repair / warranty","sv-SE","reparation; garanti; konsumentskydd","reparationsverkstad","warranty","runcheck-translation-profile-sv-SE.md; https://support.google.com/pixelphone/answer/15738128?hl=sv","medium","17"
"security, factory reset and FRP","factory reset / FRP","sv-SE","fabriksåterställning; Factory Reset Protection (FRP)","återställning when unambiguous","factory reset without explanation","runcheck-translation-profile-sv-SE.md; https://support.google.com/pixelphone/answer/15738128?hl=sv","high","59"
