"locale","source_article_id","translated_file","published_url","topic_cluster","severity","finding_type","current_text","suggested_text","evidence","confidence","recommended_action","requires_url_change","requires_manual_review"
"da-DK","27","src/content/articles/da/battery/android-bruger-mere-batteri-efter-en-opdatering-det-kan-du-gore.md","https://runcheckapp.com/da/artikler/batteri/android-bruger-mere-batteri-efter-en-opdatering-det-kan-du-gore/","fast battery drain","P2","generic_internal_link_copy","batteri, strømforbrug og fejlfinding","Du installerer en stor Android-opdatering om aftenen, tager telefonen ud af opladeren om morgenen, og allerede…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","34","src/content/articles/da/battery/androids-doze-tilstand-forklaret-sadan-sparer-telefonen-batteri-mens-den-sover.md","https://runcheckapp.com/da/artikler/batteri/androids-doze-tilstand-forklaret-sadan-sparer-telefonen-batteri-mens-den-sover/","fast battery drain","P2","generic_internal_link_copy","batteri, optimering og android","Androids Doze-tilstand reducerer batteriforbruget i standby ved at udskyde baggrundsarbejde, når telefonen er…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","28","src/content/articles/da/battery/bruger-5g-mere-batteri-end-4g.md","https://runcheckapp.com/da/artikler/batteri/bruger-5g-mere-batteri-end-4g/","fast battery drain","P2","generic_internal_link_copy","batteri, strømforbrug og fejlfinding","Metabeskrivelse: 5G kan bruge mere batteri end 4G LTE, men forskellen afhænger af signalstyrken, netværkstypen…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","30","src/content/articles/da/battery/bruger-en-hoj-opdateringshastighed-mere-batteri.md","https://runcheckapp.com/da/artikler/batteri/bruger-en-hoj-opdateringshastighed-mere-batteri/","fast battery drain","P2","generic_internal_link_copy","batteri, myter og android","Metabeskrivelse: En skærm på 120 Hz kan bruge mere batteri end 60 Hz, især på paneler med fast…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","31","src/content/articles/da/battery/hvorfor-aflades-min-telefons-batteri-hurtigt-i-koldt-vejr.md","https://runcheckapp.com/da/artikler/batteri/hvorfor-aflades-min-telefons-batteri-hurtigt-i-koldt-vejr/","fast battery drain","P2","generic_internal_link_copy","batteri, tilstand og diagnostik","Kulde gør kemien i lithium-ion-batterier langsommere, reducerer den brugbare kapacitet og kan få…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","36","src/content/articles/da/battery/sadan-bruger-du-batterisparefunktion-uden-at-miste-de-funktioner-du-har-brug-for.md","https://runcheckapp.com/da/artikler/batteri/sadan-bruger-du-batterisparefunktion-uden-at-miste-de-funktioner-du-har-brug-for/","fast battery drain","P2","generic_internal_link_copy","batteri, optimering og android","Androids Batterisparefunktion kan få en lav opladning til at række længere ved at begrænse baggrundsaktivitet…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","25","src/content/articles/da/battery/sadan-finder-du-skjult-batteriafladning-pa-android.md","https://runcheckapp.com/da/artikler/batteri/sadan-finder-du-skjult-batteriafladning-pa-android/","fast battery drain","P2","generic_internal_link_copy","batteri, strømforbrug og fejlfinding","Hvorfor giver batteriskærmen Android System eller Google Play services skylden, når det egentlige problem…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","19","src/content/articles/da/battery/sadan-fungerer-litium-ion-batterier-i-telefoner-og-derfor-nedbrydes-de.md","https://runcheckapp.com/da/artikler/batteri/sadan-fungerer-litium-ion-batterier-i-telefoner-og-derfor-nedbrydes-de/","battery health and capacity","P2","generic_internal_link_copy","batteriteknologi, videnskab og guide","Mange batteriråd på nettet får litium-ion til at lyde skrøbeligt, som om én opladning natten over ødelægger…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","12","src/content/articles/da/battery/sadan-tjekker-du-batteriets-cyklustal-pa-android.md","https://runcheckapp.com/da/artikler/batteri/sadan-tjekker-du-batteriets-cyklustal-pa-android/","battery health and capacity","P2","generic_internal_link_copy","batteri, tilstand og diagnostik","Cyklustallet viser, hvor mange fulde opladnings- og afladningscyklusser batteriet har gennemført, siden…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","20","src/content/articles/da/battery/silicium-kulstofbatterier-forklaret-storre-android-batterier-med-et-ubesvaret-sporgsmal.md","https://runcheckapp.com/da/artikler/batteri/silicium-kulstofbatterier-forklaret-storre-android-batterier-med-et-ubesvaret-sporgsmal/","battery health and capacity","P2","generic_internal_link_copy","batteriteknologi, videnskab og guide","Ser du på en Android-topmodel fra 2026 fra OnePlus, Xiaomi, HONOR eller Motorola på de markeder, hvor den…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","33","src/content/articles/da/battery/skjulte-android-indstillinger-der-draener-batteriet.md","https://runcheckapp.com/da/artikler/batteri/skjulte-android-indstillinger-der-draener-batteriet/","fast battery drain","P2","generic_internal_link_copy","android, opdateringer og sikkerhed","Android kan holde Wi-Fi-scanning, Bluetooth-scanning, baggrundssynkronisering, lokationstjek og Always On…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","156","src/content/articles/da/brands/batteritilstand-og-optimeret-opladning-pa-oneplus.md","https://runcheckapp.com/da/artikler/maerkeguides/batteritilstand-og-optimeret-opladning-pa-oneplus/","Android settings and diagnostics","P2","generic_internal_link_copy","batteri, tilstand og diagnostik","Du sætter en nyere OnePlus-telefon til opladning, kigger væk i et par minutter, og batteriet er sprunget fra…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","154","src/content/articles/da/brands/forklaring-af-batteridiagnostik-pa-google-pixel.md","https://runcheckapp.com/da/artikler/maerkeguides/forklaring-af-batteridiagnostik-pa-google-pixel/","Android settings and diagnostics","P2","generic_internal_link_copy","batteri, tilstand og diagnostik","Hvordan finder du ud af, om batteriet i en Pixel faktisk er slidt, eller om det bare bliver straffet af en…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","158","src/content/articles/da/brands/pixel-fejlfindingsappen-hvad-den-gor-og-hvordan-du-bruger-den.md","https://runcheckapp.com/da/artikler/maerkeguides/pixel-fejlfindingsappen-hvad-den-gor-og-hvordan-du-bruger-den/","Android settings and diagnostics","P2","generic_internal_link_copy","producent, android og diagnostik","Hvordan afgør du, om et batteriproblem på en Pixel skyldes reel hardwareslitage eller bare én strømsulten app…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","157","src/content/articles/da/brands/samsung-enhedspleje-hvad-det-gor-og-hvad-du-kan-ignorere.md","https://runcheckapp.com/da/artikler/maerkeguides/samsung-enhedspleje-hvad-det-gor-og-hvad-du-kan-ignorere/","Android settings and diagnostics","P2","generic_internal_link_copy","lagerplads, android og oprydning","Du prøver at frigøre plads før en rejse, din Galaxy-telefon siger, at lagerpladsen næsten er fuld, og…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
